,产品,月销量,价格,店铺
0,Huawei/华为 MateBook D,59,¥5488.00,苏宁易购官方旗舰店
1,Huawei/华为 M3,339,¥1499.00,华为卓瑞尔专卖店
2,Huawei/华为 M3平板电脑,127,¥1349.00,华为千百回专卖店
3,Huawei/华为 Mate RS充电器,65,¥699.00,华为官方旗舰店
4,Huawei/华为 运动蓝牙耳机,754,¥799.00,君问数码官方旗舰店
5,Huawei/华为 平板 M3 青春版10英寸,82,¥2298.00,华为卓瑞尔专卖店
6,Huawei/华为 平板 M3 青春版8英寸,66,¥1799.00,世纪华电数码专营店
7,Huawei/华为 M2-803L,13,¥1399.00,莫拉克数码专营店
8,Huawei/华为 PLE-703L,70,¥1299.00,宏百纳数码专营店
9,Huawei/华为 Matebook X Pro,15,¥6888.00,宏百纳数码专营店
10,Huawei/华为 MateBook E Bell-W09,2,¥4288.00,宏威科锐数码专营店
11,Huawei/华为 M2-801W,9,¥1298.00,华为千百回专卖店
12,Huawei/华为 M2-A01L,16,¥2538.00,华为千百回专卖店
13,华为Huawei S5700S-28P-LI-AC交换机,7,¥1780.00,博润天数码专营店
14,Huawei/华为 FreeBuds,10,¥699.00,能良数码官方旗舰店
15,华为原装  防水防汗 自由聆听,917,¥2238.00,华为莫问专卖店
16,华为S1700-52R-2T2P-AC,6,¥1339.00,凯雷数码专营店
17,Huawei/华为 BL-W19,5,¥6688.00,华为智信华州专卖店
18,华为新品S5720S-28P-LI-AC,11,¥1900.00,博润天数码专营店
19,Huawei/华为 平板 C5,40,¥999.00,同步飞扬数码专营店
20,Huawei/华为 Mate 20 Pro,5,¥1999.00,沃德盛世数码专营店
21,Huawei/华为 M2-A01W,5,¥7238.00,贝丰通信专营店
22,Huawei/华为 MateBook D PL-W19,1,¥15788.00,贝丰通信专营店
23,华为WATCH 2 Pro,1,¥1799.00,华为千百回专卖店
24,华为 S1700-52R-2T2P-AC,2,¥4588.00,华为杭州专卖店
25,华为S1720-52GWR-4P,21,¥1199.00,中科智胜数码专营店
26,Huawei/华为 MateBook D,2,¥9288.00,贝丰通信专营店
27,华为 S2700-26TP-SI-AC,10,¥1788.00,广携数码专营店
28,Huawei/华为 MateBook E BL-w09,2,¥1339.00,博润天数码专营店
29,Huawei/华为 FDR-A03L,4,¥2380.00,铮竹数码专营店
30,华为 S2700-26TP-EI(AC),7,¥1668.00,久汇数码专营店
31,Huawei/华为 MateBook D PL-W09,5,¥3740.00,宜柏数码专营店
32,华为S1720-28GWR-PWR-4P,4,¥5988.00,宏威科锐数码专营店
33,华为S6720S-26Q-EI-24S-AC,11,¥1100.00,博润天数码专营店
34,Huawei/华为 运动心率蓝牙耳机,29,¥6998.00,宏威科锐数码专营店
35,Huawei/华为 AR111-S,1,¥1899.00,华为智信华州专卖店
36,Huawei/华为 AR101W-S,0,¥1280.00,博润天数码专营店
37,华为 S5720S-28P-PWR-LI-AC,1,¥2999.00,移宝通信专营店
38,Huawei/华为 Matebook X MACH-W19,0,¥4888.00,云皓数码专营店
39,华为S1720-10GW-PWR-2P,3,¥2580.00,博润天数码专营店
40,华为 S5700-24TP-SI(AC),0,¥21052.00,博润天数码专营店
41,华为 AC6005-8-8AP 无线AP/AC控制器,40,¥699.00,绿森数码官方旗舰店
42,华为 S3700-28TP-SI(AC),1,¥799.00,同步飞扬数码专营店
43,Huawei/华为 E5771h-937,9,¥899.00,凯雷数码专营店
44,华为USG6101 ,8,¥839.00,沪浜数码专营店
45,Huawei/华为 Matebook X,1,¥3450.00,博润天数码专营店
46,Huawei/华为 AR1220E-S,1,¥9988.00,clife旗舰店
47,Huawei/华为 ac6003-8-8ap,2,¥1683.00,沪浜数码专营店
48,Huawei/华为 AR2240C-S,2,¥4079.00,铮竹数码专营店
49,,0,¥7325.00,博润天数码专营店
50,,0,¥2361.00,铮竹数码专营店
51,,13,¥799.00,诚创数码专营店
52,,2,¥1788.00,铮竹数码专营店
53,,1,¥6688.00,力持数码专营店
54,,0,¥1050.00,华为亮通专卖店
55,,2,¥3740.00,铮竹数码专营店
56,,1,¥4489.00,铮竹数码专营店
57,,0,¥639.00,思创远传办公专营店
58,,0,¥4593.00,铮竹数码专营店
59,,0,¥11199.00,宜柏数码专营店
